ÜNİVERSİTE_TÜRÜ,ÜNİVERSİTE,FAKÜLTE;PROGRAM_KODU,PROGRAM;DİL,ÖĞRENİM_TÜRÜ,BURS;ÖĞRENİM_SÜRESİ,PUAN_TÜRÜ,KONTENJAN,OKUL_BİRİNCİSİ_KONTENJANI,GEÇEN_YIL_MİN_SIRALAMA,GEÇEN_YIL_MİN_PUAN
Vakıf,YAŞAR ÜNİVERSİTESİ,Mühendislik Fakültesi,206011079,Elektrik-Elektronik Mühendisliği,İngilizce,No,,4,SAY,30,nan,272000.0,"254,97478"
Vakıf,YAŞAR ÜNİVERSİTESİ,Mühendislik Fakültesi,206010336,Endüstri Mühendisliği,İngilizce,No,,4,SAY,10,nan,nan,
Vakıf,YAŞAR ÜNİVERSİTESİ,Mühendislik Fakültesi,206010345,Endüstri Mühendisliği,İngilizce,No,,4,SAY,6,nan,38400.0,"422,78314"
Vakıf,YAŞAR ÜNİVERSİTESİ,Mühendislik Fakültesi,206010354,Endüstri Mühendisliği,İngilizce,No,,4,SAY,8,nan,69400.0,"375,92321"
Vakıf,YAŞAR ÜNİVERSİTESİ,Mühendislik Fakültesi,206011088,Endüstri Mühendisliği,İngilizce,No,,4,SAY,36,nan,230000.0,"267,69849"
Vakıf,YAŞAR ÜNİVERSİTESİ,Mühendislik Fakültesi,206011025,Enerji Sistemleri Mühendisliği,İngilizce,No,,4,SAY,3,nan,nan,
Vakıf,YAŞAR ÜNİVERSİTESİ,Mühendislik Fakültesi,206011034,Enerji Sistemleri Mühendisliği,İngilizce,No,,4,SAY,3,nan,60100.0,"388,38184"
Vakıf,YAŞAR ÜNİVERSİTESİ,Mühendislik Fakültesi,206011043,Enerji Sistemleri Mühendisliği,İngilizce,No,,4,SAY,18,nan,218000.0,"272,2206"
Vakıf,YAŞAR ÜNİVERSİTESİ,Mühendislik Fakültesi,206011052,Enerji Sistemleri Mühendisliği,İngilizce,No,,4,SAY,6,nan,nan,
Vakıf,YAŞAR ÜNİVERSİTESİ,Mühendislik Fakültesi,206011149,İnşaat Mühendisliği,İngilizce,No,,4,SAY,6,nan,nan,
Vakıf,YAŞAR ÜNİVERSİTESİ,Mühendislik Fakültesi,206011113,İnşaat Mühendisliği,İngilizce,No,,4,SAY,5,nan,71200.0,"373,61939"
Vakıf,YAŞAR ÜNİVERSİTESİ,Mühendislik Fakültesi,206011122,İnşaat Mühendisliği,İngilizce,No,,4,SAY,11,nan,106000.0,"336,03835"
Vakıf,YAŞAR ÜNİVERSİTESİ,Mühendislik Fakültesi,206011131,İnşaat Mühendisliği,İngilizce,No,,4,SAY,28,nan,283000.0,"252,00511"
Vakıf,YAŞAR ÜNİVERSİTESİ,Mühendislik Fakültesi,206090348,Makine Mühendisliği,İngilizce,No,,4,SAY,3,nan,nan,
Vakıf,YAŞAR ÜNİVERSİTESİ,Mühendislik Fakültesi,206090347,Makine Mühendisliği,İngilizce,No,,4,SAY,3,nan,56300.0,"393,87238"
Vakıf,YAŞAR ÜNİVERSİTESİ,Mühendislik Fakültesi,206090354,Makine Mühendisliği,İngilizce,No,,4,SAY,14,nan,nan,-
Vakıf,YAŞAR ÜNİVERSİTESİ,Mühendislik Fakültesi,206090355,Makine Mühendisliği,İngilizce,No,,4,SAY,10,nan,nan,-
